review,bug_report,improvement_request,rating,others
يبيله تصليحات كثير,High,Medium,Low,No
ماتحملت ابدددددا ونا دفعت فلوس 🤔😕,No,Medium,Medium,Low
"اتمنى منكم عمل خيار لتفضيل المسلسل بالكامل عوضاً عن تفضيل الحلقات فقط
وشكراً",No,High,Low,No
ممتاز وبسيط وتشغيله لا يؤثر على سرعة الانترنت,No,No,High,No
تبين م لي ي تم ل يب,No,No,Low,High
التطبيق لا يعمل على النوت ايدج,High,Medium,Low,No
لا يتم تسجيل الدخول بالارقام المتبعة في نظام نور وبالتالي التطبيق يحتاج لإصلاح الخلل,High,Medium,Low,No
اللعبه رافضه تفتح معي,High,Medium,No,No
تطبيق عديم الفايده ارسل بحالة ولدي ولا مجيب ولا شي اصبح المريض مهمش للاسف لو انه ابنكم لفعلتو المستحيل لاجل معالجته,No,Medium,Medium,No
"السلام عليكم ورحمة الله وبركاته
هناك خطأ ما يجعل الاستفادة من هذا التطبيق مستحيلة أرجو معالجة هذا الخطأ لتتم الاستفادة جزاكم الله خير",High,Medium,Low,No
تطبيق لا يمكن الإستغناء عنه,No,No,High,No
"انو تطبيق جميل جدا مره حلو,،🖤🖤❤️❤️",No,No,High,No
افضل ما فيه حجب الاعلانات المحتوية على صور وموسيقى,No,No,High,No
اضغط على النجمه للتقيم,No,No,No,High
عند التسجيل في الموقع يطلع لي التاريخ غلط وين المشكله لو سمحتو,High,No,No,No
اللعبة حلوة بس لو تضيف. عرف اكثر حتكون احلا و كمان لو تضيف شخصيات اكثر اللعبة حتكون اكثر حلاوة💗💖💖,No,High,Medium,No
لطيفة سيدي يوسف بن علوي بن عبدالله بن عبدالعزيز آل سعود ولي العهد,No,No,No,High
دائما بالتحديات كرتي بخزي ليش ليش ليش,No,No,Low,Medium
ممتاز جدا بس لابد من وجود قطعة قارئ الاعطال,Low,High,Medium,No
التطبيق ادخل عليه يطلع برا التطبيق كل مره احاول الدخول صلحوها رجاء,High,Low,Low,No
ههدي للامي و صدى الملاعب الرياضية,No,No,Low,High
ال عبه بت جنن واو عجد واو,No,No,High,Low
برنامج ممتاز جدا وقوي ويشغل كل الامتدادات,No,No,High,Low
والله فرحنا كثيراً بتطبيق مطبعة الملك فهد لكن للأسف به أخطاء و ميزات ناقصة كثيرة جداً و لا يتم تحميل المصحفين الأخضر و الأزرق أرجو أن يتم عمل هذا التطبيق بما يليق بمكانة المصحف و بما هو مؤمل من المطبعة و أرجو من الشؤون الإسلامية الإستعانة بخبراء التطبيقات و تخريج نسخة محدثة لا عيب فيها و رائدة تظهر جمالية هذا الكتاب الكريم والله لنا الأجر العظيم و الثواب الكبير إن رسخنا أنفسنا في خدمة كتاب الله العظيم جزاكم الله خيراً و ننتظر منكم الأفضل و الأفضل من بين جميع التطبيقات . .,Medium,High,Medium,Low
لقد تم حظري من قبل الاداره,No,No,Low,High
البرنامج جميل لكن لابد من الغاء حتمية النقاط والاعتماد على الاعلانات لجني الارباح,No,Medium,Medium,No
العبه مره حلوه بس ياليت انه بالغه العربيه,No,High,Medium,No
اللعبه توقف عند وصول 94 ارجو حل المشكله,High,Low,Low,No
انها جميل مو مره مره 🙂,No,No,High,No
شريت من عندكم مرتين واخذتوا فلوسي ولا عطيتوني المشتريات الله لايوفقكم,Medium,No,High,Low
انا ضحيت في عشرين ريال بس الدعوه  سرقه ولا   افيدوني في طريقة الاسترجاع,Medium,No,High,Low
برنامج فاشل جدا مثل الي نزله ربي ياخده الي نزل هالبرنامج,No,No,High,No
